Player,stats_standard_Nation,stats_standard_Squad,stats_standard_Position,stats_standard_Current age,stats_standard_Matches Played,stats_standard_Minutes,stats_standard_Goals,stats_standard_Assists,stats_standard_Yellow Cards,stats_standard_Red Cards,stats_standard_xG: Expected Goals,stats_standard_xAG: Exp. Assisted Goals,stats_standard_Progressive Carries,stats_standard_Progressive Passes,stats_standard_Progressive Passes Rec,stats_standard_Goals/90,stats_standard_Assists/90,stats_standard_xG/90,stats_standard_xAG/90,stats_shooting_Shots on Target %,stats_shooting_Shots on target/90,stats_shooting_Goals/Shot,stats_shooting_Average Shot Distance,stats_passing_Passes Completed,stats_passing_Pass Completion %,stats_passing_Total Passing Distance,stats_passing_Passes Completed (Short),stats_passing_Pass Completion % (Medium),stats_passing_Pass Completion % (Long),stats_passing_Key Passes,stats_passing_Passes into Final Third,stats_passing_Passes into Penalty Area,stats_passing_Crosses into Penalty Area,stats_passing_Progressive Passes,stats_gca_Shot-Creating Actions,stats_gca_Shot-Creating Actions/90,stats_gca_Goal-Creating Actions,stats_gca_Goal-Creating Actions/90,stats_defense_Tackles,stats_defense_Tackles Won,stats_defense_Dribbles Challenged,stats_defense_Challenges Lost,stats_defense_Blocks,stats_defense_Shots Blocked,stats_defense_Passes Blocked,stats_defense_Interceptions,stats_possession_Touches,stats_possession_Touches (Def Pen),stats_possession_Touches (Def 3rd),stats_possession_Touches (Mid 3rd),stats_possession_Touches (Att 3rd),stats_possession_Touches (Att Pen),stats_possession_Take-Ons Attempted,stats_possession_Successful Take-On %,stats_possession_Tackled During Take-On Percentage,stats_possession_Carries,stats_possession_Progressive Carrying Distance,stats_possession_Progressive Carries,stats_possession_Carries into Final Third,stats_possession_Carries into Penalty Area,stats_possession_Miscontrols,stats_possession_Dispossessed,stats_possession_Passes Received,stats_possession_Progressive Passes Rec,stats_misc_Yellow Cards,stats_misc_Red Cards,stats_misc_Fouls Committed,stats_misc_Fouls Drawn,stats_misc_Offsides,stats_misc_Crosses,stats_misc_Ball Recoveries,stats_misc_Aerials Won,stats_misc_Aerials Lost,stats_misc_% of Aerials Won,stats_keeper_Goals Against/90,stats_keeper_Save Percentage,stats_keeper_Clean Sheet Percentage,stats_keeper_Save% (Penalty Kicks)
Diogo Jota,ptPOR,Liverpool,FW,28-155,24,1154,6,3,2,0,7.5,1.8,36,33,86,0.47,0.23,0.59,0.14,27.1,1.01,0.13,12.3,205,69.7,3120,109,75,61.9,11,29,3,1,33,35,2.73,9,0.7,14,8,19,12,9,0,9,7,459,5,30,190,246,93,32,34.4,59.4,251,754,36,21,20,37,22,317,86,2,0,22,14,1,8,40,22,30,42.3,N/a,N/a,N/a,N/a
Djed Spence,engENG,Tottenham,DF,24-272,22,1604,1,2,4,1,0.6,1.8,56,100,70,0.06,0.11,0.03,0.1,30,0.17,0.1,23.9,923,85.5,13205,539,85.8,51.7,11,74,18,8,100,28,1.57,5,0.28,40,30,27,7,24,9,15,18,1316,72,448,600,288,25,69,49.3,40.6,741,2372,56,41,7,26,31,812,70,4,1,20,23,2,25,101,20,13,60.6,N/a,N/a,N/a,N/a
Dominic Calvert-Lewin,engENG,Everton,FW,28-053,23,1588,3,1,2,0,6.2,0.6,22,19,107,0.17,0.06,0.35,0.04,36.2,0.96,0.06,12.3,177,62.8,2075,128,59,37.5,7,19,5,1,19,25,1.42,4,0.23,9,7,6,4,6,2,4,6,499,22,39,208,257,83,25,40,52,272,444,22,8,16,73,33,407,107,2,0,27,23,27,6,32,84,80,51.2,N/a,N/a,N/a,N/a
Dominic Solanke,engENG,Tottenham,FW,27-236,25,2119,8,3,0,0,10.1,2.9,29,45,88,0.34,0.13,0.43,0.13,40.7,1.02,0.14,12.1,250,71,3344,153,77.1,66.7,14,27,9,0,45,37,1.57,8,0.34,18,11,14,10,18,7,11,0,636,31,68,290,284,111,50,32,62,374,803,29,21,14,67,47,448,88,0,0,36,36,5,4,37,44,59,42.7,N/a,N/a,N/a,N/a
Dominik Szoboszlai,huHUN,Liverpool,MF,24-195,33,2279,5,5,6,0,7.1,6.2,65,118,120,0.2,0.2,0.28,0.24,32.3,0.79,0.08,18.5,1029,84.6,15917,562,88.3,72.2,51,80,31,5,118,108,4.27,14,0.55,31,20,39,24,36,4,32,9,1450,24,188,704,576,96,35,54.3,37.1,740,2119,65,46,17,34,22,991,120,6,0,37,23,4,34,122,18,22,45,N/a,N/a,N/a,N/a
Donyell Malen,nlNED,Aston Villa,FW,26-119,12,293,3,0,0,0,2.2,0.1,11,5,25,0.92,0,0.66,0.02,60,2.76,0.2,15.2,48,69.6,658,30,72.2,50,2,2,1,0,5,5,1.53,0,0,7,4,4,3,1,0,1,0,120,2,8,32,86,23,10,30,50,71,312,11,6,7,8,6,79,25,0,0,1,4,2,7,8,4,4,50,N/a,N/a,N/a,N/a
Dwight McNeil,engENG,Everton,"MF,FW",25-167,18,1262,4,4,1,0,1.1,3.8,35,63,74,0.29,0.29,0.08,0.27,40,0.71,0.16,21.9,420,73.7,7795,195,81.8,52.3,33,38,33,10,63,63,4.49,7,0.5,11,6,19,11,7,0,7,5,688,4,67,298,339,24,40,52.5,45,406,1041,35,30,5,24,29,468,74,1,0,6,14,1,97,71,3,15,16.7,N/a,N/a,N/a,N/a
Eberechi Eze,engENG,Crystal Palace,"MF,FW",26-313,31,2427,5,8,1,0,9.1,5.2,67,89,143,0.19,0.3,0.34,0.19,25.3,0.89,0.04,21.6,735,74.5,12395,361,83.5,44.9,54,47,35,4,89,125,4.64,9,0.33,37,22,35,18,27,0,27,11,1336,15,177,628,564,89,130,49.2,44.6,794,2262,67,45,21,53,44,862,143,1,0,11,49,9,103,133,7,37,15.9,N/a,N/a,N/a,N/a
Eddie Nketiah,engENG,Crystal Palace,"FW,MF",25-343,26,895,1,1,6,1,4.5,1.6,38,17,68,0.1,0.1,0.45,0.16,31.6,1.21,0.03,14.2,166,74.4,2483,89,80.9,70.6,12,11,4,0,17,27,2.71,2,0.2,13,6,12,6,10,1,9,2,368,10,40,155,180,61,19,52.6,31.6,217,815,38,22,13,30,16,264,68,6,1,26,24,4,5,22,18,32,36,N/a,N/a,N/a,N/a
Ederson,brBRA,Manchester City,GK,31-264,23,2050,0,4,3,0,0,1.5,0,1,0,0,0.18,0,0.07,N/a,0,N/a,N/a,730,88.2,17943,129,98.4,66.3,4,20,1,0,1,6,0.26,4,0.18,0,0,2,2,0,0,0,1,875,619,866,9,0,0,0,N/a,N/a,590,1732,0,0,0,1,0,560,0,3,0,1,0,0,0,38,4,1,80,1.1,68.5,34.8,0
Edmond-Paris Maghoma,engENG,Brentford,"MF,FW",24-000,8,119,0,0,0,0,0.1,0.1,4,13,4,0,0,0.09,0.08,0,0,0,23.8,76,90.5,1259,38,93.5,85.7,1,2,0,0,13,4,3.03,1,0.76,2,1,3,2,2,2,0,1,101,2,18,58,27,4,4,75,25,68,221,4,3,1,2,0,75,4,0,0,2,4,0,3,7,1,3,25,N/a,N/a,N/a,N/a
Edson Álvarez,mxMEX,West Ham,MF,27-196,25,1633,0,1,8,1,0.3,0.8,21,75,18,0,0.06,0.02,0.04,9.1,0.06,0,26.7,763,85.7,12894,372,89.7,73.5,11,80,11,3,75,25,1.38,2,0.11,44,23,33,18,21,8,13,16,1101,61,323,612,174,12,31,45.2,38.7,603,1528,21,20,2,25,13,734,18,8,1,37,18,4,6,78,28,20,58.3,N/a,N/a,N/a,N/a
Elliot Anderson,engENG,Nott'ham Forest,MF,22-183,34,2467,2,6,7,0,1.9,3.1,46,128,87,0.07,0.22,0.07,0.11,18.9,0.26,0.05,19.4,949,77.6,15198,500,80.3,45.7,34,105,19,2,128,78,2.85,10,0.36,84,52,100,57,44,9,35,30,1630,95,388,775,496,62,73,49.3,39.7,820,2094,46,31,19,56,41,956,87,7,0,43,55,4,78,197,47,23,67.1,N/a,N/a,N/a,N/a
Emerson Palmieri,itITA,West Ham,DF,30-278,30,2105,2,1,5,0,2,1.5,47,66,83,0.09,0.04,0.08,0.06,43.8,0.3,0.13,19,859,79.9,12521,513,81.3,42.2,16,51,13,5,66,41,1.75,2,0.09,60,31,48,21,32,8,24,21,1323,82,422,557,359,28,30,33.3,56.7,553,1736,47,25,9,24,7,745,83,5,0,25,13,0,64,84,18,20,47.4,N/a,N/a,N/a,N/a
Emi Buendía,arARG,Aston Villa,"MF,FW",28-134,12,98,0,0,1,0,0.7,0,3,7,6,0,0,0.6,0.02,0,0,0,19.1,49,81.7,624,33,85.7,20,1,4,1,0,7,3,2.76,0,0,6,6,5,5,5,1,4,0,82,0,17,35,31,3,2,0,100,53,119,3,5,0,4,3,64,6,1,0,4,6,0,0,8,0,2,0,N/a,N/a,N/a,N/a
Emil Krafth,seSWE,Newcastle Utd,DF,30-279,10,289,0,0,0,0,0,0.1,3,7,1,0,0,0.01,0.03,0,0,0,14.6,104,80,1661,49,86.8,50,1,6,0,0,7,3,0.93,0,0,4,2,3,1,5,4,1,2,164,30,87,59,19,4,1,0,100,72,133,3,3,0,2,2,85,1,0,0,3,1,0,1,17,5,7,41.7,N/a,N/a,N/a,N/a
Emile Smith Rowe,engENG,Fulham,MF,24-284,31,1886,6,2,2,0,4.4,1.1,50,120,115,0.29,0.1,0.21,0.05,28.6,0.48,0.17,15.6,844,90.1,12107,489,95.4,70.4,18,76,15,1,120,65,3.1,11,0.52,31,18,24,16,20,2,18,11,1128,20,155,534,449,55,33,48.5,45.5,734,1838,50,38,11,35,13,867,115,2,0,18,12,4,13,69,6,17,26.1,N/a,N/a,N/a,N/a
Emiliano Martínez,arARG,Aston Villa,GK,32-248,34,2970,0,0,4,0,0,0.5,0,4,0,0,0,0,0.02,N/a,0,N/a,N/a,1018,79.1,26608,180,98.2,50.1,2,24,0,0,4,6,0.18,1,0.03,3,3,2,0,1,0,1,0,1348,1015,1329,19,0,0,1,100,0,820,2626,0,0,0,1,0,738,0,4,0,1,5,0,0,29,8,1,88.9,1.36,66.7,17.6,50
Emmanuel Agbadou,ciCIV,Wolves,DF,27-325,13,1140,0,0,2,0,0.3,0.2,3,22,1,0,0,0.02,0.02,16.7,0.08,0,31.8,663,85,13505,210,92.7,61,4,26,1,0,22,15,1.18,2,0.16,27,18,17,6,16,12,4,9,924,155,527,381,22,5,10,70,20,572,1230,3,3,0,3,3,615,1,2,0,5,4,1,1,66,22,16,57.9,N/a,N/a,N/a,N/a
Enes Ünal,trTUR,Bournemouth,"FW,MF",27-363,17,345,2,1,2,0,2.7,0.4,4,12,22,0.52,0.26,0.72,0.1,35,1.83,0.1,14.6,63,63.6,685,40,60.7,0,4,4,4,0,12,9,2.35,3,0.78,1,0,3,3,1,0,1,0,172,6,14,63,95,26,12,8.3,83.3,91,95,4,3,1,17,13,133,22,2,0,6,9,1,4,16,24,22,52.2,N/a,N/a,N/a,N/a
Enzo Fernández,arARG,Chelsea,MF,24-111,33,2677,6,7,7,0,6,6.5,57,199,116,0.2,0.24,0.2,0.22,37.3,0.64,0.12,18.2,1429,80,25393,653,85,58,73,156,39,7,199,141,4.74,16,0.54,63,32,83,52,36,7,29,13,2070,36,327,1049,708,76,46,45.7,39.1,1135,2574,57,53,8,27,27,1520,116,7,0,47,48,1,105,147,14,28,33.3,N/a,N/a,N/a,N/a
Erling Haaland,noNOR,Manchester City,FW,24-291,28,2480,21,3,2,0,20.8,2.8,19,18,103,0.76,0.11,0.76,0.1,54.5,1.96,0.19,12.2,225,66,2706,156,66.7,66.7,26,9,7,1,18,62,2.25,9,0.33,9,5,6,4,11,1,10,5,578,22,39,200,344,170,32,34.4,59.4,272,478,19,14,19,39,25,427,103,2,0,22,12,4,3,29,49,45,52.1,N/a,N/a,N/a,N/a
Ethan Nwaneri,engENG,Arsenal,"FW,MF",18-048,25,821,4,2,1,0,1.1,1,44,30,102,0.44,0.22,0.12,0.11,36.4,0.88,0.18,18.2,307,80.2,4430,194,76.9,51.4,12,16,13,6,30,22,2.41,3,0.33,11,7,18,11,8,2,6,2,496,3,43,160,298,40,55,58.2,30.9,334,1243,44,23,16,21,17,362,102,1,0,8,5,6,51,33,4,7,36.4,N/a,N/a,N/a,N/a
Ethan Pinnock,jmJAM,Brentford,DF,31-344,22,1913,2,0,2,0,1.1,1.2,3,41,9,0.09,0,0.05,0.05,60,0.28,0.2,11.1,924,85.6,17045,360,89.4,57.9,8,48,4,1,41,21,0.99,0,0,35,19,24,11,29,18,11,24,1348,294,783,457,109,24,9,33.3,66.7,633,1633,3,4,0,2,4,760,9,2,0,8,4,0,9,50,63,43,59.4,N/a,N/a,N/a,N/a
Evan Ferguson,ieIRL,West Ham,FW,20-201,8,156,0,0,0,0,0.6,0.3,1,1,7,0,0,0.32,0.17,20,0.58,0,17.2,28,75.7,375,21,71.4,50,2,1,0,0,1,4,2.31,0,0,3,1,0,0,2,1,1,1,66,1,6,30,31,10,5,60,40,31,41,1,1,1,8,5,42,7,0,0,1,2,0,0,8,5,10,33.3,N/a,N/a,N/a,N/a
Evanilson,brBRA,Bournemouth,FW,25-214,28,2058,10,1,1,1,11.6,1.6,28,24,88,0.44,0.04,0.51,0.07,43.9,1.27,0.15,13,215,70,2631,137,73,66.7,23,14,3,0,24,56,2.45,8,0.35,16,10,12,4,10,2,8,0,505,23,50,195,263,116,19,31.6,36.8,300,820,28,17,14,31,22,358,88,1,1,33,45,17,0,59,39,58,40.2,N/a,N/a,N/a,N/a
Ezri Konsa,engENG,Aston Villa,DF,27-197,31,2666,1,0,0,0,0.9,0.4,17,77,11,0.03,0,0.03,0.01,33.3,0.1,0.11,9.1,1425,92.8,23907,621,95.7,65.5,5,95,1,0,77,23,0.78,3,0.1,32,17,22,4,18,10,8,21,1756,224,826,839,100,20,18,44.4,38.9,1021,2561,17,12,2,17,10,1223,11,0,0,6,42,0,5,89,31,22,58.5,N/a,N/a,N/a,N/a
Fabian Schär,chSUI,Newcastle Utd,DF,33-139,31,2664,4,0,7,1,2.4,0.4,14,102,18,0.14,0,0.08,0.01,32.3,0.34,0.13,21.2,1518,83.8,30536,525,92.7,52.3,5,145,10,0,102,32,1.08,4,0.14,34,21,34,20,37,24,13,41,2111,239,1089,900,133,33,12,66.7,16.7,1331,3403,14,23,2,11,6,1474,18,7,1,32,12,4,10,125,46,61,43,N/a,N/a,N/a,N/a
Fabio Carvalho,ptPOR,Brentford,"FW,MF",22-251,19,455,2,1,1,0,2.5,0.7,9,17,23,0.4,0.2,0.49,0.13,41.7,0.99,0.17,14.7,126,70.8,1755,78,71.1,38.9,4,11,5,1,17,10,1.97,1,0.2,13,9,13,7,6,1,5,3,247,4,44,91,113,22,14,14.3,71.4,137,356,9,3,0,13,8,145,23,1,0,5,10,1,10,30,2,6,25,N/a,N/a,N/a,N/a
Facundo Buonanotte,arARG,Leicester City,"FW,MF",20-136,29,1474,4,2,7,0,3.8,3.1,38,52,69,0.24,0.12,0.23,0.19,29.4,0.61,0.12,17.8,430,76.6,6782,234,81.9,48.6,24,40,13,2,52,50,3.05,4,0.24,53,32,67,46,32,6,26,11,850,26,127,436,300,36,79,32.9,62,465,1321,38,26,8,53,39,515,69,7,0,35,33,3,41,77,17,35,32.7,N/a,N/a,N/a,N/a
Ferdi Kadioglu,trTUR,Brighton,"DF,MF",25-213,6,385,1,0,1,0,0.4,0.2,1,15,27,0.23,0,0.1,0.04,25,0.23,0.25,15.1,144,82.3,2372,73,82.4,64.3,5,10,9,4,15,13,3.03,2,0.47,10,6,15,9,2,2,0,8,231,13,71,91,72,9,7,42.9,42.9,124,183,1,0,0,6,2,144,27,1,0,5,3,1,9,14,3,1,75,N/a,N/a,N/a,N/a
Filip Jørgensen,dkDEN,Chelsea,GK,23-022,6,540,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,0,N/a,N/a,158,83.6,2843,64,97.5,27.5,0,1,0,0,0,1,0.17,0,0,0,0,0,0,0,0,0,0,202,174,201,1,0,0,0,N/a,N/a,145,423,0,0,0,0,0,139,0,0,0,1,1,0,0,5,0,0,N/a,1.5,71.4,16.7,0
Flynn Downes,engENG,Southampton,MF,26-108,24,1881,1,0,10,0,0.6,1.1,25,63,28,0.05,0,0.03,0.05,30,0.14,0.1,18.7,890,90.1,13048,508,92.1,68.8,15,54,12,0,63,30,1.44,2,0.1,44,24,32,18,24,6,18,30,1184,77,351,632,210,21,15,33.3,46.7,567,1610,25,21,4,13,17,840,28,10,0,46,35,0,3,75,14,13,51.9,N/a,N/a,N/a,N/a
Fraser Forster,engENG,Tottenham,GK,37-052,7,630,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,0,N/a,N/a,168,84.8,3349,54,95.6,48.9,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,228,212,228,0,0,0,1,100,0,113,264,0,0,0,1,0,94,0,0,0,0,0,0,0,1,1,0,100,2.14,69,14.3,0
Gabriel Jesus,brBRA,Arsenal,FW,28-035,17,608,3,0,4,0,3,0.7,15,19,57,0.44,0,0.44,0.1,35,1.04,0.15,11.1,156,76.8,2030,103,87.2,66.7,8,10,9,1,19,18,2.66,4,0.59,10,6,9,5,10,1,9,4,299,9,28,108,165,48,22,40.9,45.5,179,432,15,6,11,13,13,217,57,4,0,14,10,9,7,28,9,18,33.3,N/a,N/a,N/a,N/a
Gabriel Magalhães,brBRA,Arsenal,DF,27-140,28,2363,3,1,4,0,2.6,0.9,10,126,11,0.11,0.04,0.1,0.03,22.7,0.19,0.14,9.5,1480,90.2,25788,598,94.2,53.9,13,145,8,0,126,35,1.33,6,0.23,25,15,16,4,42,29,13,16,1873,189,672,985,225,40,5,80,20,1116,2669,10,22,0,9,2,1366,11,4,0,19,19,0,9,63,53,37,58.9,N/a,N/a,N/a,N/a
Gabriel Martinelli,brBRA,Arsenal,"FW,MF",23-324,30,2041,7,4,1,0,5.9,4.7,112,47,267,0.31,0.18,0.26,0.21,42.6,0.88,0.15,13.3,446,71,6480,283,69.8,49,37,11,32,13,47,66,2.91,6,0.26,20,15,23,16,10,0,10,4,889,15,87,229,586,168,106,30.2,54.7,597,2355,112,30,59,49,33,678,267,1,0,14,20,8,83,72,15,30,33.3,N/a,N/a,N/a,N/a
George Hirst,sctSCO,Ipswich Town,FW,26-082,23,493,3,1,2,0,1.6,0.3,9,13,29,0.55,0.18,0.28,0.06,50,0.91,0.3,11.1,58,55.8,675,40,50,50,4,1,4,0,13,8,1.45,3,0.54,3,3,3,2,1,1,0,2,162,11,23,54,87,23,5,40,40,89,199,9,2,6,21,13,138,29,2,0,12,10,2,3,8,30,20,60,N/a,N/a,N/a,N/a
Georginio Rutter,frFRA,Brighton,"MF,FW",23-018,28,1656,5,3,2,0,4.6,2.5,42,67,79,0.27,0.16,0.25,0.14,24,0.65,0.1,15.5,237,66.8,3344,144,66.7,62.5,19,30,16,1,67,64,3.47,8,0.43,39,15,36,22,20,3,17,10,641,20,83,246,326,79,71,38,47.9,361,1405,42,36,16,45,37,411,79,2,0,34,45,7,9,66,25,46,35.2,N/a,N/a,N/a,N/a
Gonçalo Guedes,ptPOR,Wolves,"MF,FW",28-160,26,783,2,4,1,0,2.2,1.1,32,31,60,0.23,0.46,0.26,0.13,36.8,0.8,0.11,20,192,72.7,3194,98,76,44.8,11,13,17,5,31,23,2.64,8,0.92,14,4,15,12,9,0,9,5,375,4,43,165,180,28,20,25,55,230,904,32,21,5,33,14,255,60,1,0,14,15,3,17,34,3,11,21.4,N/a,N/a,N/a,N/a
Guglielmo Vicario,itITA,Tottenham,GK,28-213,23,2070,0,0,1,0,0,0,0,1,0,0,0,0,0,N/a,0,N/a,N/a,737,87.6,14516,228,97,49.1,0,1,0,0,1,4,0.17,0,0,0,0,0,0,0,0,0,1,892,599,874,18,0,0,1,100,0,636,1635,0,0,0,0,0,577,0,1,0,0,2,0,0,32,9,0,100,1.43,64.9,17.4,N/a
Guido Rodríguez,arARG,West Ham,MF,31-026,20,1018,0,0,5,0,0.2,0.1,2,31,5,0,0,0.02,0.01,12.5,0.09,0,27.8,419,84.1,7149,201,91.4,62.7,3,36,1,0,31,10,0.88,0,0,30,16,30,16,21,9,12,12,617,42,196,366,56,2,3,66.7,0,284,392,2,5,0,2,6,354,5,5,0,15,11,1,4,46,8,7,53.3,N/a,N/a,N/a,N/a
Hamza Choudhury,bdBAN,Leicester City,"MF,DF",27-219,4,131,0,0,0,0,0,0.4,4,3,6,0,0,0,0.27,N/a,0,N/a,N/a,72,85.7,991,47,79.3,50,2,10,1,1,3,3,2.05,0,0,1,1,3,2,4,2,2,5,100,4,19,61,20,3,4,75,25,63,130,4,2,2,1,0,71,6,0,0,1,0,0,5,2,0,0,N/a,N/a,N/a,N/a,N/a
Harrison Reed,engENG,Fulham,MF,30-101,12,109,0,0,2,0,0.2,0.1,1,4,7,0,0,0.21,0.07,66.7,1.65,0,21.7,39,70.9,550,21,76.5,40,1,1,1,0,4,1,0.89,0,0,6,3,3,2,1,0,1,1,78,2,11,28,40,5,2,0,50,31,27,1,1,0,2,2,38,7,2,0,6,2,0,6,10,1,2,33.3,N/a,N/a,N/a,N/a
Harry Amass,engENG,Manchester Utd,DF,18-053,4,256,0,0,0,0,0,0,9,5,17,0,0,0.02,0.01,0,0,0,20.9,121,82.9,1430,84,76.9,25,1,4,0,0,5,6,2.11,0,0,6,2,6,4,6,1,5,2,197,12,69,67,65,4,7,42.9,42.9,102,342,9,6,2,12,5,101,17,0,0,2,4,1,6,17,5,5,50,N/a,N/a,N/a,N/a
Harry Clarke,engENG,Ipswich Town,DF,24-067,7,379,0,0,3,1,0.1,0,5,14,2,0,0,0.02,0.01,100,0.24,0,4.5,190,80.5,3442,87,87.5,57.5,1,21,1,0,14,1,0.24,0,0,5,3,6,3,5,4,1,4,268,18,100,122,47,2,2,50,50,118,222,5,7,0,4,2,163,2,3,1,5,1,0,5,17,10,4,71.4,N/a,N/a,N/a,N/a
Harry Maguire,engENG,Manchester Utd,DF,32-064,24,1539,1,0,7,0,1.4,0.3,6,43,7,0.06,0,0.08,0.01,41.7,0.29,0.08,7.9,833,85.9,15479,312,90.6,57.1,6,43,3,0,43,17,0.99,0,0,26,13,18,5,14,12,2,37,1147,137,572,525,65,38,5,40,60,677,1673,6,7,3,7,2,739,7,7,0,17,9,1,3,57,52,22,70.3,N/a,N/a,N/a,N/a
Harry Toffolo,engENG,Nott'ham Forest,DF,29-262,4,137,0,0,1,0,0,0,0,2,4,0,0,0.01,0,0,0,0,28.5,47,70.1,653,30,62.5,14.3,0,1,0,0,2,0,0,0,0,5,3,4,1,2,2,0,2,88,9,32,22,34,2,0,N/a,N/a,17,23,0,0,0,0,0,30,4,1,0,1,0,0,4,2,1,0,100,N/a,N/a,N/a,N/a
Harry Wilson,wlsWAL,Fulham,"FW,MF",28-047,22,1003,5,1,2,0,3.7,1.1,17,48,83,0.45,0.09,0.33,0.1,34.4,0.99,0.16,17.3,297,73.9,4995,152,78.5,42.9,19,25,13,1,48,37,3.32,3,0.27,14,9,15,6,13,1,12,5,516,9,67,185,273,48,24,37.5,41.7,299,693,17,18,8,14,5,342,83,2,0,10,20,1,38,50,4,18,18.2,N/a,N/a,N/a,N/a
Harry Winks,engENG,Leicester City,MF,29-095,22,1538,0,2,4,0,0.2,1.2,19,101,11,0,0.12,0.01,0.07,40,0.23,0,29.2,910,87.1,14101,471,91.2,57.9,17,110,7,5,101,39,2.28,3,0.18,24,11,30,17,19,7,12,9,1158,49,275,746,151,1,12,25,66.7,696,1522,19,13,0,13,8,827,11,4,0,9,13,0,34,106,8,6,57.1,N/a,N/a,N/a,N/a
Harvey Barnes,engENG,Newcastle Utd,FW,27-150,30,1503,9,4,0,0,6.6,3.9,80,72,172,0.54,0.24,0.39,0.23,32.7,1.08,0.16,15,420,78.8,5863,267,73.5,63.2,23,22,36,8,72,57,3.4,9,0.54,16,9,10,7,7,1,6,6,709,15,84,232,398,109,58,37.9,50,498,2160,80,41,44,26,20,567,172,0,0,11,20,5,41,49,5,14,26.3,N/a,N/a,N/a,N/a
Harvey Elliott,engENG,Liverpool,"MF,FW",22-034,15,267,0,1,1,0,0.8,0.9,8,29,25,0,0.34,0.28,0.29,15.4,0.67,0,18,181,81.5,3087,98,81.1,68,6,18,4,0,29,15,5.06,2,0.67,4,3,5,4,5,1,4,1,257,2,21,115,122,18,6,50,50,147,301,8,9,5,4,4,193,25,1,0,0,0,1,10,10,1,2,33.3,N/a,N/a,N/a,N/a
Hwang Hee-chan,krKOR,Wolves,"MF,FW",29-102,20,651,2,0,0,0,0.8,0.1,15,12,41,0.28,0,0.11,0.02,60,0.41,0.4,17.4,159,81.5,2061,107,85.1,80,3,7,4,2,12,9,1.24,1,0.14,6,4,6,4,9,0,9,2,262,9,41,99,124,24,14,14.3,85.7,151,426,15,5,7,14,10,174,41,0,0,6,8,0,8,27,3,9,25,N/a,N/a,N/a,N/a
Hákon Rafn Valdimarsson,isISL,Brentford,GK,23-207,2,145,0,0,0,0,0,0,0,0,0,0,0,0,0,N/a,0,N/a,N/a,46,65.7,1445,8,100,41.5,0,2,0,0,0,2,1.24,0,0,0,0,0,0,0,0,0,0,72,60,71,1,0,0,0,N/a,N/a,44,80,0,0,0,0,0,36,0,0,0,0,0,0,0,1,1,0,100,1.24,50,100,N/a
Ian Maatsen,nlNED,Aston Villa,DF,23-059,26,957,1,2,2,0,0.8,2.7,27,40,91,0.09,0.19,0.07,0.25,29.4,0.47,0.06,22.3,530,81.8,8558,258,86.5,54.3,18,20,15,3,40,49,4.6,7,0.66,27,15,22,6,11,0,11,15,797,47,216,294,297,41,23,47.8,52.2,429,1037,27,15,11,20,21,486,91,2,0,9,9,3,48,61,8,6,57.1,N/a,N/a,N/a,N/a
Ibrahim Sangaré,ciCIV,Nott'ham Forest,MF,27-157,10,370,0,1,3,0,0,0.4,0,16,3,0,0.24,0,0.09,100,0.24,0,32,169,82,2544,95,85.5,55.6,4,18,2,0,16,6,1.46,0,0,19,11,12,8,8,3,5,3,261,14,65,158,40,7,1,0,100,101,137,0,2,0,4,1,146,3,3,0,11,5,0,0,29,6,9,40,N/a,N/a,N/a,N/a
Ibrahima Konaté,frFRA,Liverpool,DF,25-348,28,2320,1,2,5,0,1.7,1,21,103,3,0.04,0.08,0.07,0.04,16.7,0.12,0.06,10.5,1581,90.3,29259,547,95.1,55.7,10,125,8,0,103,30,1.16,7,0.27,36,25,34,10,27,15,12,12,2005,211,854,1047,110,22,4,50,25,1184,3160,21,13,0,8,2,1454,3,5,0,26,18,0,0,86,72,28,72,N/a,N/a,N/a,N/a
Idrissa Gana Gueye,snSEN,Everton,MF,35-224,34,2794,0,3,8,0,1.1,1.7,26,134,24,0,0.1,0.03,0.05,18.5,0.16,0,25.2,1116,86.5,18814,560,90.7,71.8,19,136,10,3,134,56,1.8,3,0.1,124,74,90,36,45,9,36,44,1640,69,385,943,321,20,36,47.2,47.2,781,1611,26,27,4,32,33,943,24,8,0,51,41,0,7,180,23,15,60.5,N/a,N/a,N/a,N/a
Igor,brBRA,Brighton,DF,27-090,12,903,0,0,4,0,0,0.2,9,44,0,0,0,0,0.02,0,0,0,14.1,628,92.1,11358,248,95.2,71.4,1,35,2,1,44,11,1.1,0,0,4,4,10,6,23,14,9,4,764,109,377,353,38,1,4,75,25,497,1782,9,14,0,1,0,568,0,4,0,9,6,0,2,40,8,6,57.1,N/a,N/a,N/a,N/a
Iliman Ndiaye,snSEN,Everton,FW,25-063,30,2252,7,0,3,0,5.2,1.6,81,50,115,0.28,0,0.21,0.06,40.6,0.52,0.16,17.4,543,80.8,8134,317,86.1,68,17,35,14,5,50,59,2.36,5,0.2,48,25,45,26,27,5,22,17,1000,34,202,411,435,77,137,46,46.7,575,2221,81,41,30,49,43,612,115,3,0,24,47,5,38,163,6,19,24,N/a,N/a,N/a,N/a
