Player,stats_standard_Nation,stats_standard_Squad,stats_standard_Position,stats_standard_Current age,stats_standard_Matches Played,stats_standard_Minutes,stats_standard_Goals,stats_standard_Assists,stats_standard_Yellow Cards,stats_standard_Red Cards,stats_standard_xG: Expected Goals,stats_standard_xAG: Exp. Assisted Goals,stats_standard_Progressive Carries,stats_standard_Progressive Passes,stats_standard_Progressive Passes Rec,stats_standard_Goals/90,stats_standard_Assists/90,stats_standard_xG/90,stats_standard_xAG/90,stats_shooting_Shots on Target %,stats_shooting_Shots on target/90,stats_shooting_Goals/Shot,stats_shooting_Average Shot Distance,stats_passing_Passes Completed,stats_passing_Pass Completion %,stats_passing_Total Passing Distance,stats_passing_Passes Completed (Short),stats_passing_Pass Completion % (Medium),stats_passing_Pass Completion % (Long),stats_passing_Key Passes,stats_passing_Passes into Final Third,stats_passing_Passes into Penalty Area,stats_passing_Crosses into Penalty Area,stats_passing_Progressive Passes,stats_gca_Shot-Creating Actions,stats_gca_Shot-Creating Actions/90,stats_gca_Goal-Creating Actions,stats_gca_Goal-Creating Actions/90,stats_defense_Tackles,stats_defense_Tackles Won,stats_defense_Dribbles Challenged,stats_defense_Challenges Lost,stats_defense_Blocks,stats_defense_Shots Blocked,stats_defense_Passes Blocked,stats_defense_Interceptions,stats_possession_Touches,stats_possession_Touches (Def Pen),stats_possession_Touches (Def 3rd),stats_possession_Touches (Mid 3rd),stats_possession_Touches (Att 3rd),stats_possession_Touches (Att Pen),stats_possession_Take-Ons Attempted,stats_possession_Successful Take-On %,stats_possession_Tackled During Take-On Percentage,stats_possession_Carries,stats_possession_Progressive Carrying Distance,stats_possession_Progressive Carries,stats_possession_Carries into Final Third,stats_possession_Carries into Penalty Area,stats_possession_Miscontrols,stats_possession_Dispossessed,stats_possession_Passes Received,stats_possession_Progressive Passes Rec,stats_misc_Yellow Cards,stats_misc_Red Cards,stats_misc_Fouls Committed,stats_misc_Fouls Drawn,stats_misc_Offsides,stats_misc_Crosses,stats_misc_Ball Recoveries,stats_misc_Aerials Won,stats_misc_Aerials Lost,stats_misc_% of Aerials Won,stats_keeper_Goals Against/90,stats_keeper_Save Percentage,stats_keeper_Clean Sheet Percentage,stats_keeper_Save% (Penalty Kicks)
William Osula,dkDEN,Newcastle Utd,FW,21-277,12,104,1,0,0,0,0.1,0.1,2,2,12,0.87,0,0.1,0.08,33.3,0.87,0.33,14.5,11,61.1,126,8,50,N/a,1,0,1,0,2,2,1.73,0,0,1,0,2,2,0,0,0,4,41,1,2,17,22,4,6,50,50,25,55,2,1,0,5,5,27,12,0,0,2,1,1,1,2,4,1,80,N/a,N/a,N/a,N/a
William Saliba,frFRA,Arsenal,DF,24-045,33,2904,2,0,2,1,2.3,0.9,16,134,6,0.06,0,0.07,0.03,33.3,0.06,0.33,5.4,2320,94.2,39927,978,96,79.9,7,175,6,0,134,26,0.81,1,0.03,60,36,27,6,24,15,9,21,2717,178,1072,1519,141,18,19,63.2,31.6,1675,4013,16,17,1,18,7,2056,6,2,1,28,17,1,3,146,58,35,62.4,N/a,N/a,N/a,N/a
William Smallbone,ieIRL,Southampton,MF,25-076,15,646,1,0,1,0,0.4,0.6,5,25,23,0.14,0,0.06,0.09,16.7,0.14,0.17,19.3,257,77.6,4218,122,85,38.8,9,11,3,2,25,15,2.09,0,0,18,11,21,14,8,0,8,2,401,15,76,198,131,14,6,66.7,33.3,182,391,5,9,1,11,5,243,23,1,0,11,3,0,34,23,4,2,66.7,N/a,N/a,N/a,N/a
Willian,brBRA,Fulham,"FW,MF",36-272,9,241,0,0,0,0,0.3,0.5,9,38,31,0,0,0.1,0.17,0,0,0,22.1,163,85.8,2905,81,86.1,73.7,5,18,10,2,38,15,5.6,0,0,3,1,5,4,0,0,0,1,211,1,17,76,122,6,6,16.7,50,138,460,9,9,2,3,1,168,31,0,0,1,0,0,13,14,1,2,33.3,N/a,N/a,N/a,N/a
Willy Boly,ciCIV,Nott'ham Forest,DF,34-094,6,150,0,0,1,0,0.1,0,0,2,0,0,0,0.04,0,100,0.6,0,10.2,55,78.6,1010,20,93.8,26.7,0,3,0,0,2,0,0,0,0,6,1,4,0,4,2,2,3,97,22,63,32,2,1,0,N/a,N/a,35,45,0,0,0,1,0,46,0,1,0,1,0,0,0,5,6,2,75,N/a,N/a,N/a,N/a
Wilson Odobert,frFRA,Tottenham,FW,20-161,13,629,1,0,0,0,1.2,0.9,40,21,56,0.14,0,0.17,0.13,27.3,0.43,0.09,16.8,173,77.2,2288,120,71.4,60,5,8,10,3,21,14,2.01,1,0.14,9,3,11,5,4,0,4,3,306,5,32,109,168,32,29,41.4,48.3,221,1028,40,21,17,16,14,229,56,0,0,1,3,1,21,29,3,6,33.3,N/a,N/a,N/a,N/a
Wout Faes,beBEL,Leicester City,DF,27-035,31,2545,1,0,4,0,1.4,0.1,12,80,1,0.04,0,0.05,0,9.1,0.04,0.09,10,1252,87.7,23226,481,95,53.7,4,79,6,0,80,17,0.6,0,0,39,23,43,20,45,33,12,26,1735,277,852,824,67,26,6,83.3,16.7,1011,2703,12,13,2,16,6,1154,1,4,0,21,10,1,5,87,41,34,54.7,N/a,N/a,N/a,N/a
Woyo Coulibaly,frFRA,Leicester City,DF,25-353,4,109,0,0,1,0,0,0,4,3,2,0,0,0.04,0,50,0.83,0,19.4,48,84.2,797,28,84.2,100,0,3,0,0,3,0,0,0,0,6,4,2,0,3,1,2,5,76,8,27,31,20,4,1,0,100,48,169,4,2,1,4,0,36,2,1,0,2,1,0,0,14,0,3,0,N/a,N/a,N/a,N/a
Yankuba Minteh,gmGAM,Brighton,"FW,MF",20-290,29,1587,6,4,6,0,4,4.7,71,40,163,0.34,0.23,0.22,0.27,50,0.85,0.2,13.5,297,62.3,4794,170,61.9,47.5,25,13,29,8,40,54,3.07,11,0.62,45,32,45,28,20,0,20,11,723,30,129,204,408,121,84,47.6,44,410,1768,71,19,56,44,21,423,163,6,0,20,10,4,76,75,16,32,33.3,N/a,N/a,N/a,N/a
Yasin Ayari,seSWE,Brighton,MF,21-214,31,1759,1,1,3,0,2.2,2.2,30,69,59,0.05,0.05,0.11,0.11,28,0.36,0.04,19,713,81.2,10693,419,84.7,37.1,28,52,17,4,69,58,2.97,6,0.31,54,29,51,30,23,6,17,20,1119,52,247,569,320,43,41,41.5,36.6,585,1398,30,25,6,34,21,716,59,3,0,33,23,3,64,107,14,20,41.2,N/a,N/a,N/a,N/a
Yehor Yarmoliuk,uaUKR,Brentford,MF,21-068,28,1196,0,0,5,0,0.6,0.9,15,52,44,0,0,0.05,0.07,22.2,0.15,0,15.9,535,85.5,9305,266,88.4,83.8,9,62,7,4,52,22,1.66,2,0.15,39,24,46,23,24,7,17,10,794,52,219,411,179,15,21,47.6,42.9,410,748,15,17,3,24,16,493,44,5,0,13,9,2,16,92,8,7,53.3,N/a,N/a,N/a,N/a
Yerson Mosquera,coCOL,Wolves,DF,24-006,5,441,0,0,2,0,0.3,0.1,0,7,0,0,0,0.07,0.02,0,0,0,12.4,205,85.4,3996,66,93.5,62.9,2,16,1,1,7,5,1.02,0,0,11,7,14,5,13,10,3,10,294,43,170,115,12,7,0,N/a,N/a,168,322,0,1,0,4,1,182,0,2,0,6,7,1,2,24,11,6,64.7,N/a,N/a,N/a,N/a
Yoane Wissa,cdCOD,Brentford,FW,28-247,32,2650,18,3,2,0,16.5,1.8,51,57,135,0.61,0.1,0.56,0.06,46.3,1.26,0.23,13.4,408,76.1,5924,252,75.3,57.8,23,41,9,1,57,61,2.07,8,0.27,22,12,27,16,29,8,21,8,850,32,130,348,387,147,45,28.9,51.1,497,1452,51,23,28,70,29,599,135,2,0,28,47,14,20,67,29,34,46,N/a,N/a,N/a,N/a
